"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NZ_CM009924.1","NZ_CM009924.1","SAMN07602915",1,"OXA-72","Sweden","Europe & Central Asia","2012","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","plasmid"
"NZ_CP023441.1","NZ_CP023441.1","SAMN07602916",1,"SHV-11","Sweden","Europe & Central Asia","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","chromosome"
"NZ_CP023442.1","NZ_CP023442.1","SAMN07602916",2,"SHV-200,VIM-1","Sweden","Europe & Central Asia","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","plasmid"
"NZ_CP023443.1","NZ_CP023443.1","SAMN07602916",4,"TEM-1,KPC-2,OXA-896,OXA-9","Sweden","Europe & Central Asia","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","plasmid"
"NZ_CP023438.1","NZ_CP023438.1","SAMN07604329",1,"TEM-243","South Korea","East Asia & Pacific","2002","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","human stool",NA,"NCCP","plasmid"
"NZ_NTCV01000078.1","NZ_NTCV01000078.1","SAMN07604909",1,"TEM-1","Brazil","Latin America & Caribbean","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Municipal Hospital of Uberlandia","plasmid"
"NZ_NTCV01000081.1","NZ_NTCV01000081.1","SAMN07604909",1,"KPC-2","Brazil","Latin America & Caribbean","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Municipal Hospital of Uberlandia","plasmid"
"NZ_NTCW01000075.1","NZ_NTCW01000075.1","SAMN07604911",1,"KPC-2","Brazil","Latin America & Caribbean","2009","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","peritoneal secretion",NA,"Marise D. Asensi","plasmid"
"NZ_NTCW01000089.1","NZ_NTCW01000089.1","SAMN07604911",1,"TEM-1","Brazil","Latin America & Caribbean","2009","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","peritoneal secretion",NA,"Marise D. Asensi","plasmid"
"NZ_NTCW01000093.1","NZ_NTCW01000093.1","SAMN07604911",1,"OXA-1","Brazil","Latin America & Caribbean","2009","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","peritoneal secretion",NA,"Marise D. Asensi","plasmid"
"NZ_NTCW01000103.1","NZ_NTCW01000103.1","SAMN07604911",1,"TEM-1","Brazil","Latin America & Caribbean","2009","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","peritoneal secretion",NA,"Marise D. Asensi","plasmid"
"NZ_CP037963.1","NZ_CP037963.1","SAMN07609088",1,"SHV-1","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP037964.1","NZ_CP037964.1","SAMN07609088",1,"TEM-1","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP037965.1","NZ_CP037965.1","SAMN07609088",1,"NDM-1","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP028547.2","NZ_CP028547.2","SAMN07609091",3,"TEM-1,SHV-134,KPC-2","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP028548.2","NZ_CP028548.2","SAMN07609091",1,"SHV-11","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP073285.1","NZ_CP073285.1","SAMN07609107",1,"SHV-11","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP028786.2","NZ_CP028786.2","SAMN07609113",2,"SHV-134,NDM-1","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","pus",NA,NA,"plasmid"
"NZ_CP028787.2","NZ_CP028787.2","SAMN07609113",1,"SHV-5","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","pus",NA,NA,"chromosome"
"NZ_CP028781.2","NZ_CP028781.2","SAMN07609114",1,"NDM-5","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP028782.2","NZ_CP028782.2","SAMN07609114",1,"CTX-M-27","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP028783.2","NZ_CP028783.2","SAMN07609114",2,"SHV-11,CTX-M-27","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP029381.1","NZ_CP029381.1","SAMN07609117",4,"TEM-1,SHV-134,CTX-M-65,KPC-2","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP029384.2","NZ_CP029384.2","SAMN07609117",1,"SHV-11","China","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP043357.1","NZ_CP043357.1","SAMN07609123",1,"SHV-11","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP043358.1","NZ_CP043358.1","SAMN07609123",3,"TEM-1,CTX-M-65,KPC-2","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP036300.1","NZ_CP036300.1","SAMN07609144",1,"SHV-11","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP036301.1","NZ_CP036301.1","SAMN07609144",3,"TEM-1,CTX-M-65,KPC-2","China","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP023430.1","NZ_CP023430.1","SAMN07611365",2,"SHV-7,KPC-3","US","North America","2013","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","endoscope, BAL",NA,"University of Michigan","chromosome"
"NZ_CP023387.1","NZ_CP023387.1","SAMN07618121",1,"TEM-1","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023385.1","NZ_CP023385.1","SAMN07618122",1,"CMY-2","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023380.1","NZ_CP023380.1","SAMN07618123",1,"TEM-190","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023382.1","NZ_CP023382.1","SAMN07618123",1,"CMY-2","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023376.1","NZ_CP023376.1","SAMN07618124",1,"CMY-2","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023370.1","NZ_CP023370.1","SAMN07618125",1,"CMY-2","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023363.1","NZ_CP023363.1","SAMN07618126",1,"TEM-1","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023365.1","NZ_CP023365.1","SAMN07618126",1,"CMY-2","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023360.1","NZ_CP023360.1","SAMN07618127",1,"TEM-1","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023362.1","NZ_CP023362.1","SAMN07618127",1,"CMY-2","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023356.1","NZ_CP023356.1","SAMN07618129",1,"CMY-2","UK","Europe & Central Asia","2002","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","canine","missing",NA,NA,"plasmid"
"NZ_CP023776.1","NZ_CP023776.1","SAMN07638450",1,"OXA-57","China","East Asia & Pacific","2016","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Capra hircus",NA,"goat-breeding farm",NA,"chromosome"
"NZ_CP023416.1","NZ_CP023416.1","SAMN07638733",1,"SHV-134","Spain","Europe & Central Asia","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","hospital",NA,NA,"chromosome"
"NZ_CP023419.1","NZ_CP023419.1","SAMN07638733",1,"VIM-1","Spain","Europe & Central Asia","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","hospital",NA,NA,"plasmid"
"NZ_CP023420.1","NZ_CP023420.1","SAMN07638733",2,"TEM-1,TEM-126","Spain","Europe & Central Asia","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","hospital",NA,NA,"plasmid"
"NZ_CP023722.1","NZ_CP023722.1","SAMN07672549",1,"SHV-11","Taiwan","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","intraabdominal abscess",NA,"Taipei Veterans General Hospital","chromosome"
"NZ_CP023724.1","NZ_CP023724.1","SAMN07672549",1,"TEM-1","Taiwan","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","intraabdominal abscess",NA,"Taipei Veterans General Hospital","plasmid"
"NZ_CP023725.1","NZ_CP023725.1","SAMN07672549",1,"KPC-2","Taiwan","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","intraabdominal abscess",NA,"Taipei Veterans General Hospital","plasmid"
"NZ_NWUP01000069.1","NZ_NWUP01000069.1","SAMN07682413",1,"OXA-232","India","South Asia","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Apollo Hospital, Chennai, India","plasmid"
"NZ_NXDR01000067.1","NZ_NXDR01000067.1","SAMN07689019",1,"OXA-232","India","South Asia","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Apollo Hospital, Chennai, India","plasmid"
"NZ_NXFN01000046.1","NZ_NXFN01000046.1","SAMN07690982",1,"OXA-232","India","South Asia","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"Apollo Hospital, Chennai, India","plasmid"
"NZ_CP031449.2","NZ_CP031449.2","SAMN07692776",4,"OXA-10,OXA-129,OXA-486,IMP-1","Ghana","Sub-Saharan Africa","2015","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Komfo Anokye Teaching Hospital (KATH) Ghana","chromosome"
"NZ_CP024467.1","NZ_CP024467.1","SAMN07702429",1,"TEM-1","Burundi","Sub-Saharan Africa","1990","Shigella dysenteriae","Shigella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","missing","missing",NA,"missing","plasmid"
"NZ_CP024630.1","NZ_CP024630.1","SAMN07709120",1,"OXA-904","China","East Asia & Pacific","2010","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Mink","Mink raising farm",NA,"Xue Bai","chromosome"
"NZ_CP033632.1","NZ_CP033632.1","SAMN07723175",1,"CTX-M-65","China","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"chicken",NA,NA,"plasmid"
"NZ_CP033636.1","NZ_CP033636.1","SAMN07723175",3,"TEM-1,TEM-105,OXA-10","China","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"chicken",NA,NA,"plasmid"
"NZ_CP024683.1","NZ_CP024683.1","SAMN07729545",1,"CMY-109","US","North America","2014","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"University of Michigan","chromosome"
"NZ_CP024680.1","NZ_CP024680.1","SAMN07729546",1,"CMY-75","US","North America","2014","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"University of Michigan","chromosome"
"NZ_CP024679.1","NZ_CP024679.1","SAMN07729547",1,"CMY-48","US","North America","2014","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"University of Michigan","chromosome"
"NZ_CP024677.1","NZ_CP024677.1","SAMN07729548",1,"CMY-48","US","North America","2014","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"University of Michigan","chromosome"
"NZ_CP024675.1","NZ_CP024675.1","SAMN07729550",1,"CMY-159","US","North America","2013","Citrobacter werkmanii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"University of Michigan","chromosome"
"NZ_CP024673.1","NZ_CP024673.1","SAMN07729551",1,"CMY-66","US","North America","2013","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"University of Michigan","chromosome"
"NZ_CP024672.1","NZ_CP024672.1","SAMN07729552",1,"CMY-152","US","North America","2012","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","missing",NA,"University of Michigan","chromosome"
"NZ_CP024418.1","NZ_CP024418.1","SAMN07736509",2,"TEM-1,OXA-92","Greece","Europe & Central Asia","2002","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","not recorded",NA,"Kevin Towner","chromosome"
"NZ_CP024419.1","NZ_CP024419.1","SAMN07736509",1,"OXA-58","Greece","Europe & Central Asia","2002","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","not recorded",NA,"Kevin Towner","plasmid"
"NZ_CM008470.1","NZ_CM008470.1","SAMN07736518",1,"TEM-1","China","East Asia & Pacific","2014","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Academy of Military Medical Sciences","plasmid"
"NZ_CM008471.1","NZ_CM008471.1","SAMN07736518",1,"NDM-1","China","East Asia & Pacific","2014","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Academy of Military Medical Sciences","plasmid"
"NZ_LR890291.1","NZ_LR890291.1","SAMN07738870",1,"SHV-1","Australia","East Asia & Pacific","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Rectal swab",NA,"Adam Jenney","chromosome"
"NZ_LR890295.1","NZ_LR890295.1","SAMN07738870",1,"CTX-M-55","Australia","East Asia & Pacific","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Rectal swab",NA,"Adam Jenney","plasmid"
"NZ_CP034788.1","NZ_CP034788.1","SAMN07759721",1,"CTX-M-14","China","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"chicken",NA,NA,"plasmid"
"NZ_CP034789.1","NZ_CP034789.1","SAMN07759721",1,"TEM-1","China","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"chicken",NA,NA,"plasmid"
"NZ_CP023853.1","NZ_CP023853.1","SAMN07760925",1,"CTX-M-15","Sweden","Europe & Central Asia","2009","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","UTI",NA,NA,"chromosome"
"NZ_CP023854.1","NZ_CP023854.1","SAMN07760925",1,"TEM-1","Sweden","Europe & Central Asia","2009","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","UTI",NA,NA,"plasmid"
"NZ_CP023850.1","NZ_CP023850.1","SAMN07760930",2,"CTX-M-15,OXA-796","Sweden","Europe & Central Asia","2009","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","UTI",NA,NA,"plasmid"
